timestamp,download_mbps,upload_mbps,ping_ms,server_name,server_location,isp
2026-03-08T01:00:02.033831,394.95,51.0,22.64,fdcservers.net,"Seattle, WA, United States",Wave Broadband
2026-03-08T01:15:09.729917,365.01,47.39,20.7,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-08T01:30:21.999630,221.46,53.45,20.09,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-08T01:45:21.504341,576.82,51.07,20.45,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-08T03:15:36.589188,325.47,51.02,21.74,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-08T03:30:36.112159,453.84,48.44,20.42,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-08T03:45:42.009271,271.35,50.36,20.03,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-08T04:15:56.936650,324.84,44.16,24.06,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-08T04:30:58.655973,358.47,50.77,18.42,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-08T04:45:59.619428,398.45,55.73,18.36,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-08T05:16:13.800024,191.7,51.27,21.18,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-08T05:31:15.041405,384.14,50.89,19.05,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-08T05:46:15.266647,425.37,50.14,17.73,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-08T06:16:30.576063,414.17,50.81,21.1,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-08T06:31:43.508119,396.02,50.58,21.92,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-08T06:46:46.769097,356.8,37.36,17.46,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-08T07:16:59.863293,311.38,55.94,22.21,Astound Broadband,"Seattle, WA, United States",Wave Broadband
2026-03-08T07:31:59.089762,393.25,49.72,20.67,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-08T07:47:08.717568,250.99,51.84,18.73,Astound Broadband,"Seattle, WA, United States",Wave Broadband
2026-03-08T08:17:16.027042,350.85,43.17,20.84,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-08T08:32:20.693032,152.48,50.17,20.15,Astound Broadband,"Seattle, WA, United States",Wave Broadband
2026-03-08T08:47:33.984680,246.86,51.45,19.02,Astound Broadband,"Seattle, WA, United States",Wave Broadband
2026-03-08T09:17:38.200289,494.22,50.31,21.25,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-08T09:32:41.865347,223.68,50.08,19.33,Astound Broadband,"Seattle, WA, United States",Wave Broadband
2026-03-08T09:47:48.547732,375.33,51.16,18.95,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-08T10:18:02.279766,323.65,47.97,21.14,"KamaTera, Inc.","Seattle, WA, United States",Wave Broadband
2026-03-08T10:33:02.307227,337.0,49.66,19.78,Astound Broadband,"Port Orchard, WA, United States",Wave Broadband
2026-03-08T10:48:11.882175,327.45,19.72,21.74,Spectrum,"Portland, OR, United States",Wave Broadband
2026-03-08T11:18:21.495991,393.45,46.53,21.01,"KamaTera, Inc.","Seattle, WA, United States",Wave Broadband
2026-03-08T11:33:36.390857,192.01,53.25,22.84,Spectrum,"Portland, OR, United States",Wave Broadband
2026-03-08T11:48:31.857135,398.55,52.69,25.11,Spectrum,"Portland, OR, United States",Wave Broadband
2026-03-08T12:18:42.093919,339.32,31.59,22.16,"KamaTera, Inc.","Seattle, WA, United States",Wave Broadband
2026-03-08T12:33:40.340624,494.7,25.26,23.14,Astound Broadband,"Port Orchard, WA, United States",Wave Broadband
2026-03-08T12:48:51.929122,152.78,55.84,23.46,"KamaTera, Inc.","Seattle, WA, United States",Wave Broadband
2026-03-08T13:19:36.381647,117.65,3.27,88.12,"Eastern Oregon Net, Inc.","La Grande, OR, United States",T-Mobile USA
2026-03-08T13:33:58.640126,676.03,55.4,22.74,RippleFiber,"Seattle, WA, United States",Wave Broadband
2026-03-08T13:49:01.098523,624.87,49.6,22.71,RippleFiber,"Seattle, WA, United States",Wave Broadband
2026-03-08T14:19:07.358003,641.81,55.24,22.37,RippleFiber,"Seattle, WA, United States",Wave Broadband
