timestamp,target,latency_ms,success
2026-03-06T12:47:02.124598,8.8.8.8,20.1,True
2026-03-06T12:47:02.124598,1.1.1.1,21.0,True
2026-03-06T12:48:02.438883,8.8.8.8,18.9,True
2026-03-06T12:48:02.438883,1.1.1.1,16.5,True
2026-03-06T12:49:02.753793,8.8.8.8,18.0,True
2026-03-06T12:49:02.753793,1.1.1.1,16.4,True
2026-03-06T12:50:03.035575,8.8.8.8,17.8,True
2026-03-06T12:50:03.035575,1.1.1.1,19.8,True
2026-03-06T12:51:03.339452,8.8.8.8,16.2,True
2026-03-06T12:51:03.339452,1.1.1.1,17.9,True
2026-03-06T12:52:03.608690,8.8.8.8,21.7,True
2026-03-06T12:52:03.608690,1.1.1.1,24.4,True
2026-03-06T12:53:03.952675,8.8.8.8,15.6,True
2026-03-06T12:53:03.952675,1.1.1.1,14.1,True
2026-03-06T12:54:04.263479,8.8.8.8,16.7,True
2026-03-06T12:54:04.263479,1.1.1.1,15.1,True
2026-03-06T12:55:04.568856,8.8.8.8,15.9,True
2026-03-06T12:55:04.568856,1.1.1.1,21.0,True
2026-03-06T12:56:04.842383,8.8.8.8,18.2,True
2026-03-06T12:56:04.842383,1.1.1.1,18.5,True
2026-03-06T12:57:05.166567,8.8.8.8,16.5,True
2026-03-06T12:57:05.166567,1.1.1.1,24.6,True
2026-03-06T12:58:05.480584,8.8.8.8,18.7,True
2026-03-06T12:58:05.480584,1.1.1.1,11.5,True
2026-03-06T12:59:05.770345,8.8.8.8,18.7,True
2026-03-06T12:59:05.770345,1.1.1.1,17.7,True
2026-03-06T13:00:06.051313,8.8.8.8,21.2,True
2026-03-06T13:00:06.051313,1.1.1.1,16.8,True
2026-03-06T13:01:06.347827,8.8.8.8,19.3,True
2026-03-06T13:01:06.347827,1.1.1.1,19.0,True
2026-03-06T13:02:06.632651,8.8.8.8,16.2,True
2026-03-06T13:02:06.632651,1.1.1.1,19.5,True
2026-03-06T13:03:06.740558,8.8.8.8,18.0,True
2026-03-06T13:03:06.740558,1.1.1.1,17.8,True
2026-03-06T13:04:07.197596,8.8.8.8,14.8,True
2026-03-06T13:04:07.197596,1.1.1.1,18.0,True
2026-03-06T13:05:07.481411,8.8.8.8,15.3,True
2026-03-06T13:05:07.481411,1.1.1.1,16.7,True
2026-03-06T13:06:07.776727,8.8.8.8,15.4,True
2026-03-06T13:06:07.776727,1.1.1.1,19.9,True
2026-03-06T13:07:08.066363,8.8.8.8,20.4,True
2026-03-06T13:07:08.066363,1.1.1.1,16.6,True
2026-03-06T13:08:08.365567,8.8.8.8,18.6,True
2026-03-06T13:08:08.365567,1.1.1.1,14.8,True
2026-03-06T13:09:08.652162,8.8.8.8,,False
